uniqueid,plotid,Soil sampling depth,subsample,year,sampledate,Bulk density,Water retention at 0 bar,Soil texture name,Soil pH,Cation exchange capacity (CEC),Soil organic carbon (SOC),Total nitrogen (TN),Soil nitrate,Standard soil fertility routine analysis: soil pH detected with the 1:1 H2O method,Standard soil fertility routine analysis: soil cation exchange capacity (CEC),Standard soil fertility routine analysis: soil calcium (Ca) by base saturation,Standard soil fertility routine analysis: soil magnesium (Mg) by base saturation,Standard soil fertility routine analysis: soil potassium (K) by base saturation,Standard soil fertility routine analysis: lime test index,Standard soil fertility routine analysis: soil potassium (K) concentration measured by ammonium acetate or Mehlich-3 test,Standard soil fertility routine analysis: soil calcium (Ca) concentration measured by ammonium acetate or Mehlich-3 test,Standard soil fertility routine analysis: soil magnesium (Mg) concentration measured by ammonium acetate or Mehlich-3 test,Percent sand,Percent silt,Percent clay,Water retention at 0.05 bar,Water retention at 0.1 bar,Water retention at 0.33 bar,Water retention at 15 bar
NWREC,3031,0 to 10,1,2011,M,1.3,0.51,silt loam,5.25,29.37,23.9,2.0,M,5.25,M,M,M,M,M,313.3,4637.0,599.4,3.0,76.0,21.0,0.48,0.47,0.45,0.099
NWREC,4052,10 to 20,1,2014,M,1.46,M,M,5.9,29.49,25.1,1.9,M,M,M,M,M,M,M,117.0,3695.0,437.0,M,M,M,M,M,M,M
NWREC,2052,0 to 10,1,2014,M,1.42,M,M,6.5,29.53,33.6,2.4,M,M,M,M,M,M,M,181.0,4213.0,513.0,M,M,M,M,M,M,M
NWREC,2012,0 to 10,1,2014,M,1.36,M,M,6.2,29.72,31.6,2.3,M,M,M,M,M,M,M,350.0,3898.0,499.0,M,M,M,M,M,M,M
NWREC,3091,20 to 40,1,2014,M,1.25,M,M,6.6,29.9,24.1,1.6,M,M,M,M,M,M,M,57.0,4376.0,550.0,M,M,M,M,M,M,M
NWREC,2051,10 to 20,1,2014,M,1.45,M,M,6.8,29.93,30.0,1.9,M,M,M,M,M,M,M,89.0,4547.0,556.0,M,M,M,M,M,M,M
NWREC,2031,0 to 10,1,2011,M,1.15,0.56,silty clay,5.87,29.97,35.9,2.7,M,5.87,M,M,M,M,M,380.2,4785.6,578.4,3.0,70.0,27.0,0.56,0.56,0.54,0.092
NWREC,2062,0 to 10,1,2014,M,1.4,M,M,6.3,30.06,28.9,2.0,M,M,M,M,M,M,M,262.0,4033.0,538.0,M,M,M,M,M,M,M
NWREC,2012,10 to 20,1,2011,M,1.37,0.48,silty clay,6.93,30.19,25.7,1.9,M,6.93,M,M,M,M,M,192.1,4992.1,547.1,2.0,70.0,28.0,0.46,0.46,0.44,0.128
NWREC,1102,10 to 20,1,2014,M,1.45,M,M,6.6,30.22,24.1,1.8,M,M,M,M,M,M,M,159.0,4425.0,523.0,M,M,M,M,M,M,M
NWREC,3051,0 to 10,1,2014,M,1.26,M,M,5.4,30.23,28.7,2.2,M,M,M,M,M,M,M,248.0,2910.0,358.0,M,M,M,M,M,M,M
NWREC,3091,10 to 20,1,2014,M,1.5,M,M,6.3,30.35,26.2,1.9,M,M,M,M,M,M,M,70.0,4257.0,488.0,M,M,M,M,M,M,M
NWREC,2071,0 to 10,1,2014,M,1.29,M,M,5.9,30.42,28.0,2.0,M,M,M,M,M,M,M,213.0,3698.0,498.0,M,M,M,M,M,M,M
NWREC,2011,10 to 20,1,2014,M,1.42,M,M,6.3,30.47,27.3,2.0,M,M,M,M,M,M,M,136.0,4245.0,490.0,M,M,M,M,M,M,M
NWREC,2012,10 to 20,1,2014,M,1.48,M,M,6.4,30.6,28.8,2.0,M,M,M,M,M,M,M,138.0,4311.0,521.0,M,M,M,M,M,M,M
NWREC,4021,0 to 10,1,2014,M,1.23,M,M,5.2,30.67,32.8,2.6,M,M,M,M,M,M,M,348.0,2576.0,328.0,M,M,M,M,M,M,M
NWREC,4022,0 to 10,1,2014,M,1.06,M,M,5.6,30.84,28.2,2.2,M,M,M,M,M,M,M,316.0,3263.0,406.0,M,M,M,M,M,M,M
NWREC,1071,0 to 10,1,2011,M,1.28,0.52,silt loam,6.89,31.0,27.7,2.0,M,6.89,M,M,M,M,M,271.1,5009.6,605.6,3.0,73.0,24.0,0.47,0.47,0.47,0.107
NWREC,2092,10 to 20,1,2014,M,1.25,M,M,6.1,31.13,22.2,1.4,M,M,M,M,M,M,M,86.0,4164.0,502.0,M,M,M,M,M,M,M
NWREC,1072,0 to 10,1,2011,M,1.46,0.45,silt loam,6.52,31.21,35.0,2.7,M,6.52,M,M,M,M,M,342.6,4967.8,633.2,2.0,74.0,24.0,0.36,0.33,0.3,0.132
NWREC,2061,10 to 20,1,2014,M,1.36,M,M,6.5,31.26,26.2,1.7,M,M,M,M,M,M,M,106.0,4513.0,539.0,M,M,M,M,M,M,M
NWREC,2032,20 to 40,1,2014,M,1.3,M,M,6.1,31.3,20.3,1.4,M,M,M,M,M,M,M,76.0,4204.0,497.0,M,M,M,M,M,M,M
NWREC,2071,10 to 20,1,2014,M,1.36,M,M,6.1,31.46,25.6,1.7,M,M,M,M,M,M,M,84.0,4216.0,506.0,M,M,M,M,M,M,M
NWREC,1071,10 to 20,1,2011,M,1.42,0.46,silt loam,6.58,31.61,21.7,1.6,M,6.58,M,M,M,M,M,174.0,5114.4,645.1,2.0,76.0,22.0,0.45,0.44,0.44,0.123
NWREC,2091,0 to 10,1,2011,M,1.14,0.57,silty clay,6.34,31.75,24.3,1.8,M,6.34,M,M,M,M,M,306.1,5049.6,638.8,3.0,66.0,31.0,0.48,0.47,0.45,0.103
NWREC,1012,0 to 10,1,2014,M,1.5,M,M,6.2,31.77,27.8,2.2,M,M,M,M,M,M,M,226.0,4186.0,566.0,M,M,M,M,M,M,M
NWREC,4041,10 to 20,1,2014,M,1.45,M,M,5.7,31.82,29.2,2.1,M,M,M,M,M,M,M,74.0,3692.0,425.0,M,M,M,M,M,M,M
NWREC,2032,0 to 10,1,2011,M,1.37,0.48,silt loam,5.15,31.84,26.2,2.0,M,5.15,M,M,M,M,M,439.0,5058.1,618.8,3.0,71.0,26.0,0.41,0.38,0.36,0.122
NWREC,3051,10 to 20,1,2014,M,1.29,M,M,5.5,31.88,23.5,1.8,M,M,M,M,M,M,M,60.0,3393.0,369.0,M,M,M,M,M,M,M
NWREC,4051,10 to 20,1,2014,M,1.49,M,M,5.7,32.51,24.4,1.8,M,M,M,M,M,M,M,116.0,3761.0,428.0,M,M,M,M,M,M,M
NWREC,2061,0 to 10,1,2014,M,1.19,M,M,6.0,32.59,28.6,2.0,M,M,M,M,M,M,M,352.0,4085.0,545.0,M,M,M,M,M,M,M
NWREC,1101,0 to 10,1,2011,M,1.28,0.52,silty clay,6.79,32.61,27.5,2.1,M,6.79,M,M,M,M,M,475.8,5150.8,653.4,2.0,71.0,27.0,0.41,0.39,0.37,0.105
NWREC,3102,10 to 20,1,2014,M,1.29,M,M,6.4,33.19,26.0,1.8,M,M,M,M,M,M,M,70.0,4685.0,584.0,M,M,M,M,M,M,M
NWREC,2011,0 to 10,1,2014,M,1.31,M,M,5.5,33.37,30.4,2.5,M,M,M,M,M,M,M,350.0,3346.0,424.0,M,M,M,M,M,M,M
NWREC,4061,10 to 20,1,2014,M,1.28,M,M,5.3,33.75,24.0,1.8,M,M,M,M,M,M,M,105.0,3170.0,370.0,M,M,M,M,M,M,M
NWREC,1102,0 to 10,1,2014,M,1.4,M,M,6.0,34.22,30.3,2.5,M,M,M,M,M,M,M,410.0,4229.0,598.0,M,M,M,M,M,M,M
NWREC,1091,10 to 20,1,2011,M,1.23,0.53,silty clay,7.17,34.66,21.0,1.5,M,7.17,M,M,M,M,M,196.5,5671.4,677.3,2.0,71.0,27.0,0.53,0.53,0.52,0.105
NWREC,2072,10 to 20,1,2014,M,1.29,M,M,5.6,34.71,23.6,1.7,M,M,M,M,M,M,M,79.0,3793.0,471.0,M,M,M,M,M,M,M
NWREC,2102,0 to 10,1,2011,M,1.32,0.5,silty clay,7.13,34.9,28.9,2.3,M,7.13,M,M,M,M,M,259.9,5650.1,682.8,2.0,70.0,28.0,0.46,0.45,0.42,0.122
NWREC,1092,0 to 10,1,2011,M,1.3,0.51,silty clay,7.05,35.62,26.6,2.0,M,7.05,M,M,M,M,M,482.9,5621.8,723.2,2.0,71.0,27.0,0.42,0.4,0.38,0.124
NWREC,2012,0 to 10,1,2011,M,1.25,0.53,silty clay,6.15,36.63,34.6,2.6,M,6.15,M,M,M,M,M,444.4,5912.3,684.7,3.0,70.0,27.0,0.41,0.39,0.36,0.11
NWREC,1092,10 to 20,1,2011,M,1.39,0.48,silty clay,7.04,37.22,21.3,1.6,M,7.04,M,M,M,M,M,326.2,6195.2,633.8,2.0,71.0,27.0,0.46,0.46,0.45,0.119
NWREC,4062,0 to 10,1,2014,M,1.49,M,M,5.1,38.94,28.0,2.5,M,M,M,M,M,M,M,374.0,3061.0,411.0,M,M,M,M,M,M,M
NWREC,1081,0 to 10,1,2011,M,1.25,0.53,silt loam,7.16,39.33,34.3,2.7,M,7.16,M,M,M,M,M,295.7,6405.0,761.5,2.0,72.0,26.0,0.44,0.39,0.35,0.1
NWREC,2072,0 to 10,1,2014,M,1.35,M,M,5.3,40.0,25.6,2.1,M,M,M,M,M,M,M,167.0,3667.0,484.0,M,M,M,M,M,M,M
NWREC,1082,0 to 10,1,2011,M,1.4,0.47,silt loam,7.2,40.57,31.5,2.4,M,7.2,M,M,M,M,M,269.7,6556.1,825.8,2.0,74.0,24.0,0.37,0.36,0.34,0.1
NWREC,1101,0 to 10,1,2014,M,1.34,M,M,5.3,40.91,24.5,2.1,M,M,M,M,M,M,M,291.0,3750.0,462.0,M,M,M,M,M,M,M
NWREC,3092,10 to 20,1,2014,M,1.35,M,M,5.5,40.94,26.2,1.9,M,M,M,M,M,M,M,113.0,4202.0,561.0,M,M,M,M,M,M,M
NWREC,3092,0 to 10,1,2014,M,1.25,M,M,5.1,41.79,28.2,2.1,M,M,M,M,M,M,M,221.0,3359.0,456.0,M,M,M,M,M,M,M
NWREC,2032,10 to 20,1,2014,M,1.42,M,M,5.3,42.02,23.5,1.7,M,M,M,M,M,M,M,95.0,3990.0,454.0,M,M,M,M,M,M,M
NWREC,1082,10 to 20,1,2011,M,1.35,0.49,silt loam,7.24,42.95,21.0,1.5,M,7.24,M,M,M,M,M,183.4,7348.8,659.5,2.0,76.0,22.0,0.47,0.47,0.46,0.12
NWREC,1081,10 to 20,1,2011,M,1.35,0.49,silt loam,7.01,45.51,21.0,1.5,M,7.01,M,M,M,M,M,267.8,7423.2,899.5,2.0,75.0,23.0,0.45,0.45,0.43,0.12
NWREC,4052,0 to 10,1,2014,M,1.26,M,M,4.9,45.51,25.2,2.3,M,M,M,M,M,M,M,283.0,3271.0,419.0,M,M,M,M,M,M,M
NWREC,3101,0 to 10,1,2014,M,1.34,M,M,5.0,45.88,27.8,2.3,M,M,M,M,M,M,M,212.0,3493.0,449.0,M,M,M,M,M,M,M
NWREC,4051,0 to 10,1,2014,M,1.26,M,M,4.6,46.8,29.8,2.7,M,M,M,M,M,M,M,218.0,2864.0,382.0,M,M,M,M,M,M,M
NWREC,3091,0 to 10,1,2014,M,1.5,M,M,4.7,47.05,34.1,2.5,M,M,M,M,M,M,M,187.0,3111.0,379.0,M,M,M,M,M,M,M
NWREC,4061,0 to 10,1,2014,M,1.37,M,M,4.6,47.4,25.7,2.2,M,M,M,M,M,M,M,299.0,2875.0,379.0,M,M,M,M,M,M,M
NWREC,2031,0 to 10,1,2014,M,1.33,M,M,4.5,47.9,26.7,2.2,M,M,M,M,M,M,M,273.0,2784.0,342.0,M,M,M,M,M,M,M
NWREC,4042,10 to 20,1,2014,M,1.33,M,M,5.2,48.08,26.6,2.0,M,M,M,M,M,M,M,153.0,4327.0,460.0,M,M,M,M,M,M,M
NWREC,2031,10 to 20,1,2014,M,1.4,M,M,4.6,49.43,22.2,1.8,M,M,M,M,M,M,M,101.0,3171.0,361.0,M,M,M,M,M,M,M
NWREC,2032,0 to 10,1,2014,M,1.24,M,M,4.5,50.1,30.5,2.4,M,M,M,M,M,M,M,159.0,2952.0,373.0,M,M,M,M,M,M,M
NWREC,3052,0 to 10,1,2014,M,1.4,M,M,4.6,50.43,30.3,2.8,M,M,M,M,M,M,M,238.0,3164.0,369.0,M,M,M,M,M,M,M
NWREC,4042,0 to 10,1,2014,M,1.16,M,M,4.4,53.11,31.3,2.5,M,M,M,M,M,M,M,352.0,2892.0,338.0,M,M,M,M,M,M,M
NWREC,4041,0 to 10,1,2014,M,1.43,M,M,4.5,54.86,33.1,2.7,M,M,M,M,M,M,M,245.0,3246.0,379.0,M,M,M,M,M,M,M
NWREC,3102,0 to 10,1,2014,M,1.23,M,M,4.7,59.5,18.5,1.8,M,M,M,M,M,M,M,129.0,3911.0,529.0,M,M,M,M,M,M,M
NWREC,4101,40 to 60,1,2011,M,M,M,silty clay,6.73,6.62,23.3,1.7,M,6.73,M,M,M,M,M,83.0,956.0,183.8,2.0,71.0,27.0,M,M,M,M
NWREC,3092,20 to 40,1,2011,M,M,M,silty clay,6.48,7.01,21.0,1.6,M,6.48,M,M,M,M,M,46.4,1135.5,136.7,2.0,69.0,29.0,M,M,M,M
NWREC,4062,40 to 60,1,2011,M,M,M,silt loam,6.19,7.8,17.7,1.6,M,6.19,M,M,M,M,M,80.9,1224.9,166.7,5.0,69.0,26.0,M,M,M,M
NWREC,3031,20 to 40,1,2011,M,M,M,silt loam,6.06,8.18,20.3,1.7,M,6.06,M,M,M,M,M,72.4,1331.8,148.3,2.0,76.0,22.0,M,M,M,M
NWREC,2091,40 to 60,1,2011,M,M,M,silty clay,6.69,8.27,7.1,0.6,M,6.69,M,M,M,M,M,89.8,1306.8,149.6,3.0,68.0,29.0,M,M,M,M
NWREC,2092,40 to 60,1,2011,M,M,M,silty clay,6.64,8.58,8.4,0.7,M,6.64,M,M,M,M,M,69.5,1372.5,150.3,5.0,65.0,30.0,M,M,M,M
NWREC,4042,40 to 60,1,2011,M,M,M,silty clay,6.37,8.85,11.2,0.9,M,6.37,M,M,M,M,M,94.5,1294.7,239.0,5.0,67.0,28.0,M,M,M,M
NWREC,4041,40 to 60,1,2011,M,M,M,silty clay,6.49,9.04,15.3,1.2,M,6.49,M,M,M,M,M,72.5,1389.9,203.1,4.0,68.0,28.0,M,M,M,M
NWREC,1091,40 to 60,1,2011,M,M,M,silt loam,6.47,9.49,6.6,0.6,M,6.47,M,M,M,M,M,62.4,1505.0,196.3,4.0,70.0,26.0,M,M,M,M
NWREC,1072,40 to 60,1,2011,M,M,M,silty clay,6.48,9.69,7.8,0.7,M,6.48,M,M,M,M,M,57.4,1539.2,213.3,4.0,69.0,27.0,M,M,M,M
NWREC,4091,10 to 20,1,2011,M,1.44,0.46,silt loam,6.54,9.82,17.7,1.5,M,6.54,M,M,M,M,M,67.0,1550.4,213.1,2.0,73.0,25.0,0.46,0.46,0.44,0.107
NWREC,4092,10 to 20,2,2011,M,1.59,0.4,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.39,0.38,0.37,0.101
NWREC,4102,10 to 20,2,2011,M,1.59,0.4,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.39,0.39,0.38,0.104
NWREC,2032,10 to 20,2,2011,M,1.54,0.42,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.42,0.42,0.4,0.126
NWREC,4091,10 to 20,2,2011,M,1.54,0.42,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.42,0.42,0.41,0.099
NWREC,4101,10 to 20,3,2011,M,1.55,0.42,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.42,0.42,0.41,0.108
NWREC,1081,10 to 20,2,2011,M,1.5,0.43,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.41,0.36,0.3,0.124
NWREC,1101,10 to 20,3,2011,M,1.52,0.43,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.42,0.41,0.41,0.124
NWREC,1102,0 to 10,3,2011,M,1.51,0.43,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.41,0.41,0.38,0.137
NWREC,2011,0 to 10,3,2011,M,1.5,0.43,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.41,0.4,0.31,0.155
NWREC,2011,10 to 20,2,2011,M,1.52,0.43,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.43,0.43,0.43,0.129
NWREC,2091,10 to 20,2,2011,M,1.51,0.43,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.43,0.42,0.4,0.127
NWREC,2101,10 to 20,2,2011,M,1.52,0.43,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.42,0.42,0.42,0.119
NWREC,3051,10 to 20,2,2011,M,1.5,0.43,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.41,0.4,0.39,0.098
NWREC,3091,10 to 20,3,2011,M,1.51,0.43,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.43,0.43,0.43,0.129
NWREC,4091,10 to 20,3,2011,M,1.52,0.43,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.42,0.42,0.42,0.116
NWREC,4092,10 to 20,3,2011,M,1.51,0.43,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.43,0.43,0.43,0.101
NWREC,4101,10 to 20,2,2011,M,1.52,0.43,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.42,0.41,0.39,0.089
NWREC,2092,10 to 20,2,2011,M,1.48,0.44,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.44,0.44,0.43,0.116
NWREC,2092,10 to 20,3,2011,M,1.47,0.44,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.42,0.42,0.41,0.12
NWREC,2102,10 to 20,3,2011,M,1.49,0.44,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.42,0.42,0.41,0.12
NWREC,3082,10 to 20,2,2011,M,1.48,0.44,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.44,0.43,0.42,0.111
NWREC,3092,10 to 20,2,2011,M,1.48,0.44,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.44,0.44,0.44,0.109
NWREC,4041,10 to 20,2,2011,M,1.48,0.44,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.44,0.44,0.42,0.111
NWREC,4041,10 to 20,3,2011,M,1.49,0.44,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.43,0.43,0.43,0.12
NWREC,4092,0 to 10,2,2011,M,1.47,0.44,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.39,0.34,0.32,0.077
NWREC,4102,10 to 20,3,2011,M,1.49,0.44,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.44,0.44,0.43,0.11
NWREC,1071,10 to 20,3,2011,M,1.45,0.45,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.4,0.38,0.35,0.13
NWREC,1072,10 to 20,2,2011,M,1.46,0.45,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.45,0.45,0.45,0.119
NWREC,1072,10 to 20,3,2011,M,1.46,0.45,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.44,0.43,0.4,0.132
NWREC,1082,10 to 20,2,2011,M,1.46,0.45,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.45,0.45,0.44,0.124
NWREC,1102,10 to 20,3,2011,M,1.45,0.45,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.43,0.41,0.37,0.107
NWREC,2031,10 to 20,2,2011,M,1.47,0.45,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.45,0.44,0.44,0.104
NWREC,2031,10 to 20,3,2011,M,1.47,0.45,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.44,0.44,0.44,0.096
NWREC,2032,10 to 20,3,2011,M,1.45,0.45,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.44,0.44,0.41,0.118
NWREC,3031,10 to 20,2,2011,M,1.47,0.45,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.45,0.45,0.43,0.093
NWREC,3052,10 to 20,2,2011,M,1.46,0.45,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.37,0.35,0.34,0.096
NWREC,3052,10 to 20,3,2011,M,1.45,0.45,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.45,0.45,0.45,0.102
NWREC,4061,10 to 20,3,2011,M,1.46,0.45,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.45,0.45,0.45,0.116
NWREC,4062,10 to 20,2,2011,M,1.45,0.45,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.43,0.42,0.41,0.078
NWREC,4062,10 to 20,3,2011,M,1.45,0.45,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.45,0.45,0.45,0.113
NWREC,4101,0 to 10,3,2011,M,1.47,0.45,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.45,0.44,0.44,0.094
NWREC,4102,0 to 10,2,2011,M,1.47,0.45,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.45,0.43,0.42,0.081
NWREC,1071,10 to 20,2,2011,M,1.42,0.46,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.46,0.46,0.45,0.115
NWREC,1082,10 to 20,3,2011,M,1.43,0.46,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.44,0.44,0.43,0.115
NWREC,2011,10 to 20,3,2011,M,1.44,0.46,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.44,0.44,0.4,0.072
NWREC,2012,10 to 20,3,2011,M,1.44,0.46,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.46,0.46,0.46,0.13
NWREC,2101,10 to 20,3,2011,M,1.43,0.46,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.44,0.43,0.41,0.113
NWREC,2102,10 to 20,2,2011,M,1.44,0.46,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.46,0.46,0.45,0.116
NWREC,3031,10 to 20,3,2011,M,1.43,0.46,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.45,0.45,0.44,0.099
NWREC,3032,10 to 20,2,2011,M,1.42,0.46,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.44,0.43,0.41,0.079
NWREC,3052,0 to 10,3,2011,M,1.42,0.46,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.45,0.45,0.45,0.104
NWREC,3081,10 to 20,3,2011,M,1.43,0.46,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.45,0.45,0.45,0.117
NWREC,4042,10 to 20,3,2011,M,1.44,0.46,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.45,0.45,0.45,0.126
NWREC,4091,0 to 10,2,2011,M,1.43,0.46,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.46,0.45,0.44,0.076
NWREC,4102,0 to 10,3,2011,M,1.43,0.46,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.46,0.45,0.45,0.099
NWREC,1082,0 to 10,2,2011,M,1.4,0.47,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.43,0.41,0.34,0.091
NWREC,1082,0 to 10,3,2011,M,1.4,0.47,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.42,0.37,0.34,0.122
NWREC,1101,10 to 20,2,2011,M,1.4,0.47,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.47,0.47,0.46,0.114
NWREC,2011,0 to 10,2,2011,M,1.41,0.47,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.46,0.46,0.46,0.101
NWREC,2091,0 to 10,2,2011,M,1.39,0.47,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.46,0.46,0.46,0.104
NWREC,3051,0 to 10,2,2011,M,1.41,0.47,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.38,0.36,0.34,0.075
NWREC,3051,10 to 20,3,2011,M,1.39,0.47,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.47,0.46,0.45,0.103
NWREC,3081,10 to 20,2,2011,M,1.42,0.47,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.47,0.47,0.45,0.101
NWREC,3091,0 to 10,3,2011,M,1.41,0.47,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.46,0.46,0.45,0.116
NWREC,3091,10 to 20,2,2011,M,1.4,0.47,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.47,0.47,0.47,0.103
NWREC,4042,10 to 20,2,2011,M,1.41,0.47,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.47,0.46,0.46,0.096
NWREC,4062,0 to 10,3,2011,M,1.4,0.47,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.46,0.46,0.46,0.104
NWREC,1072,0 to 10,2,2011,M,1.37,0.48,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.48,0.48,0.47,0.105
NWREC,1091,10 to 20,3,2011,M,1.39,0.48,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.47,0.47,0.46,0.119
NWREC,1092,10 to 20,2,2011,M,1.39,0.48,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.46,0.46,0.46,0.107
NWREC,1092,10 to 20,3,2011,M,1.37,0.48,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.46,0.45,0.43,0.128
NWREC,2012,10 to 20,2,2011,M,1.39,0.48,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.48,0.47,0.45,0.107
NWREC,2031,0 to 10,2,2011,M,1.37,0.48,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.48,0.48,0.47,0.087
NWREC,2092,0 to 10,2,2011,M,1.37,0.48,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.48,0.48,0.48,0.099
NWREC,3031,0 to 10,2,2011,M,1.39,0.48,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.47,0.44,0.41,0.069
NWREC,3032,10 to 20,3,2011,M,1.37,0.48,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.47,0.46,0.45,0.102
NWREC,3082,0 to 10,2,2011,M,1.38,0.48,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.47,0.47,0.47,0.087
NWREC,3082,10 to 20,3,2011,M,1.38,0.48,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.47,0.47,0.47,0.109
NWREC,3092,10 to 20,3,2011,M,1.38,0.48,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.48,0.48,0.48,0.109
NWREC,4061,0 to 10,2,2011,M,1.38,0.48,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.48,0.48,0.48,0.077
